000295F6,RaiderWeaponGun [LVLI:000295F6]
060C5C23,Raider1WeaponGunBackup25DC [LVLI:060C5C23]
060C5C24,Raider2WeaponGunBackup25DC [LVLI:060C5C24]
060C5C26,Raider3WeaponGunBackup25DC [LVLI:060C5C26]
060C5C27,TalonWeaponGunBackup33 [LVLI:060C5C27]
10007A90,Raider0WeaponGunDC [LVLI:10007A90]
10007A93,Raider4WeaponGunDC [LVLI:10007A93]
10007B1D,Raider0WeaponGunMeleeDC [LVLI:10007B1D]
10007B1E,Raider1WeaponGunMeleeDC [LVLI:10007B1E]
10007B1F,Raider2WeaponGunMeleeDC [LVLI:10007B1F]
10007B20,Raider3WeaponGunMeleeDC [LVLI:10007B20]
10007B21,Raider4WeaponGunMeleeDC [LVLI:10007B21]
10007B22,Talon0WeaponGunMelee33 [LVLI:10007B22]
10007B23,Talon1WeaponGunMelee33 [LVLI:10007B23]
10007B24,Talon2WeaponGunMelee33 [LVLI:10007B24]
10007B25,Talon3WeaponGunMelee33 [LVLI:10007B25]
10007B26,Talon4WeaponGunMelee33 [LVLI:10007B26]
10007B27,Talon0WeaponGunMelee [LVLI:10007B27]
10007B28,Talon1WeaponGunMelee [LVLI:10007B28]
10007B29,Talon2WeaponGunMelee [LVLI:10007B29]
10007B2A,Talon3WeaponGunMelee [LVLI:10007B2A]
10007B2B,Talon4WeaponGunMelee [LVLI:10007B2B]
10007B2C,Regulator0WeaponGunMelee33 [LVLI:10007B2C]
10007B2D,Regulator1WeaponGunMelee33 [LVLI:10007B2D]
10007B2E,Regulator2WeaponGunMelee33 [LVLI:10007B2E]
10007B2F,Regulator3WeaponGunMelee33 [LVLI:10007B2F]
10007B30,Regulator4WeaponGunMelee33 [LVLI:10007B30]
10007B31,Regulator0WeaponGunMelee [LVLI:10007B31]
10007B32,Regulator1WeaponGunMelee [LVLI:10007B32]
10007B33,Regulator2WeaponGunMelee [LVLI:10007B33]
10007B34,Regulator3WeaponGunMelee [LVLI:10007B34]
10007B35,Regulator4WeaponGunMelee [LVLI:10007B35]
10007C8B,DLC03SupermutantWeaponGun [LVLI:10007C8B]
1000AD2F,Talon4WeaponGun [LVLI:1000AD2F]
1000CD17,Supermutant4WeaponGunDC [LVLI:1000CD17]
10018022,Regulator1WeaponGun [LVLI:10018022]
10018023,Regulator2WeaponGun [LVLI:10018023]
10018024,RegulatorWeaponGunBackup33 [LVLI:10018024]
10018025,Regulator3WeaponGun [LVLI:10018025]
10018026,Regulator4WeaponGun [LVLI:10018026]
1001CA05,Brotherhood1WeaponGun [LVLI:1001CA05]
1001CA06,Brotherhood2WeaponGun [LVLI:1001CA06]
1001CA07,Brotherhood3WeaponGun [LVLI:1001CA07]
1001CA11,Enclave0WeaponGun [LVLI:1001CA11]
1001CA12,Enclave1WeaponGun [LVLI:1001CA12]
1001CA13,Enclave2WeaponGun [LVLI:1001CA13]
1001CA14,Enclave3WeaponGun [LVLI:1001CA14]
1001CA15,Enclave4WeaponGun [LVLI:1001CA15]
1001CA25,Outcast1WeaponGun [LVLI:1001CA25]
1001CA26,Outcast2WeaponGun [LVLI:1001CA26]
1001CA27,Outcast3WeaponGun [LVLI:1001CA27]
1001CC17,Outcast4WeaponGun [LVLI:1001CC17]
1001CC1B,Outcast0WeaponGun [LVLI:1001CC1B]
1001CC1F,Brotherhood4WeaponGun [LVLI:1001CC1F]
1001CC23,Brotherhood0WeaponGun [LVLI:1001CC23]
1001CC37,Supermutant0WeaponGunDC [LVLI:1001CC37]
1001CC3A,Talon0WeaponGun [LVLI:1001CC3A]
1001CC3E,Regulator0WeaponGun [LVLI:1001CC3E]
